xtf_id,Date,Power,Inclination,Orientation,PlantCategory,ElectricityProductionPlantR
detail_204,2015-03-18,44,,,,18685
detail_205,2018-04-19,2.77,,,,18745
detail_206,2017-07-31,3.15,,,,18753
detail_207,2015-12-09,23.49,,,,12507
detail_208,2019-04-15,30,,,,14721
detail_209,2017-09-30,781.55,,,,18362
detail_210,2015-02-28,7.4,,,,10946
detail_211,2020-06-26,142,,,,14538
detail_212,2011-11-09,23.54,,,,18368
detail_213,2014-10-28,16.13,,,,18368
detail_214,2014-10-29,3.92,,,,18385
detail_215,2015-09-03,300.16,,,,11151
detail_216,2020-08-28,415.56,,,,11151
detail_217,2017-10-30,3.95,,,,19074
detail_218,2019-12-01,4.55,,,,11486
detail_219,2015-07-14,2.74,,,,19083
detail_220,2016-08-05,34.2,,,,12508
detail_221,2012-09-19,18.6,,,,12508
detail_222,2014-05-01,2.94,,,,12932
detail_223,2017-08-21,5.86,,,,11967
detail_224,2015-03-30,84,,,,19180
detail_225,2017-11-17,1.92,,,,19197
detail_226,2017-11-30,1.64,,,,19212
detail_227,2011-12-23,91.29,,,,19230
detail_228,2015-09-28,85.83,,,,19230
detail_229,2019-06-12,24.18,,,,9850
detail_230,2014-09-24,6.36,,,,19245
detail_231,2016-12-05,40.56,,,,10817
detail_232,2016-09-02,2.52,,,,19251
detail_233,2016-06-27,2.7,,,,19268
detail_234,2009-12-01,44.8,,,,19275
detail_235,2022-05-27,60.9,,,,9541
detail_236,2012-08-10,45.9,,,,18856
detail_237,2015-05-29,41,,,,18856
detail_238,2015-09-30,16.82,,,,18881
detail_239,2013-12-19,56.38,,,,18881
detail_240,2012-09-25,67.08,,,,18881
detail_241,2012-02-29,64.07,,,,18881
detail_242,2015-02-05,6.4,,,,18978
detail_243,2012-11-05,1.5,,,,18981
detail_244,2021-05-15,45,,,,9689
detail_245,2016-09-29,108.65,,,,12156
detail_246,2017-10-04,1.12,,,,10490
detail_247,2016-11-17,2.9,,,,10970
detail_248,2022-11-02,70,,,,9690
detail_249,2020-06-24,0.03,,,,10972
detail_250,2015-03-31,98.28,,,,19155
detail_251,2019-04-09,9.15,,,,19291
detail_252,2012-04-20,20.88,,,,11549
detail_253,2017-08-04,2.69,,,,11549
detail_254,2014-12-24,48.12,,,,10973
detail_255,2014-11-27,8.64,,,,10709
detail_256,2018-02-02,1.09,,,,12152
detail_257,2017-10-04,1.3,,,,19318
detail_258,2015-09-29,8.88,,,,9529
detail_259,2012-06-01,9.95,,,,9529
detail_260,2018-03-02,1.62,,,,19323
detail_261,2018-05-31,2.02,,,,12535
detail_262,2018-03-13,2.69,,,,19339
detail_263,2012-05-08,7.68,,,,19339
detail_264,2018-03-07,2.65,,,,12511
detail_265,2018-05-22,1.18,,,,19355
detail_266,2018-02-02,0.63,,,,10659
detail_267,2018-02-02,2.38,,,,19361
detail_268,2018-05-31,2.65,,,,19364
detail_269,2013-12-06,56.7,,,,19364
detail_270,2017-01-06,7.6,,,,9446
detail_271,2019-08-20,0.63,,,,10976
detail_272,2015-09-30,27.04,,,,19373
detail_273,2013-12-30,79.04,,,,19373
detail_274,2017-03-23,2.35,,,,19398
detail_275,2013-07-16,6.62,,,,11284
detail_276,2018-08-28,1.46,,,,11284
detail_277,2012-06-20,8.32,,,,19407
detail_278,2017-03-25,6.72,,,,19407
detail_279,2009-10-25,3.06,,,,19407
detail_280,2012-09-14,4.2,,,,12084
detail_281,2017-03-06,7.56,,,,12084
detail_282,2017-12-11,5.04,,,,19418
detail_283,2019-08-29,17,,,,10382
detail_284,2015-03-30,2.8,,,,12526
detail_285,2020-12-05,3.31,,,,10986
detail_286,2017-10-06,1.94,,,,10987
detail_287,2015-02-26,16.25,,,,20308
detail_288,2017-10-26,2.65,,,,10994
detail_289,2017-03-24,69.6,,,,10660
